dry_run_id,sheet,row,content_type,title,original_topic,mapped_category,proposed_subcategory,proposed_slug,live_support,disposition,validation_status,duplicate_status,manual_review_reason
workbook:02_Content_Inventory:8,02_Content_Inventory,8,faq,What is the National Scam Response Centre (NSRC)?,TOPIC-SCAMS,Scams & Social Engineering,,what-is-the-national-scam-response-centre,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:9,02_Content_Inventory,9,faq,Who should contact NSRC?,TOPIC-SCAMS,Scams & Social Engineering,,who-should-contact-nsrc,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:10,02_Content_Inventory,10,faq,What should I do if I have been scammed?,TOPIC-SCAMS,Scams & Social Engineering,,what-should-i-do-if-i-am-scammed,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:11,02_Content_Inventory,11,faq,What information should I prepare when reporting a scam?,TOPIC-SCAMS,Scams & Social Engineering,,what-information-do-i-need-to-report-a-scam,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:17,02_Content_Inventory,17,faq,What is fake news?,TOPIC-MISINFORMATION,Misinformation & Media Literacy,,what-is-fake-news,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:18,02_Content_Inventory,18,faq,How can I check if information is true?,TOPIC-MISINFORMATION,Misinformation & Media Literacy,,how-can-i-check-if-information-is-true,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:19,02_Content_Inventory,19,faq,Why do people share fake news?,TOPIC-MISINFORMATION,Misinformation & Media Literacy,,why-do-people-share-fake-news,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:20,02_Content_Inventory,20,faq,What should I do if I see fake news?,TOPIC-MISINFORMATION,Misinformation & Media Literacy,,what-should-i-do-if-i-see-fake-news,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:26,02_Content_Inventory,26,faq,What is AI-generated content?,TOPIC-AI&TECHNOLOGY,AI & Technology Safety,,what-is-ai-generated-content,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:27,02_Content_Inventory,27,faq,What is a deepfake?,TOPIC-AI&TECHNOLOGY,AI & Technology Safety,,what-is-a-deepfake,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:28,02_Content_Inventory,28,faq,How can I tell if content is AI-generated?,TOPIC-AI&TECHNOLOGY,AI & Technology Safety,,how-can-i-tell-if-content-is-ai-generated,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:29,02_Content_Inventory,29,faq,Why should I verify AI-generated content?,TOPIC-AI&TECHNOLOGY,AI & Technology Safety,,why-should-i-verify-ai-content,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:35,02_Content_Inventory,35,faq,What is personal data?,TOPIC-PRIVACY,Privacy & Personal Data Protection,,what-is-personal-data,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:36,02_Content_Inventory,36,faq,Why should I be careful when using public Wi-Fi?,TOPIC-PRIVACY,Privacy & Personal Data Protection,,why-should-i-be-careful-on-public-wifi,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:37,02_Content_Inventory,37,faq,What is a digital footprint?,TOPIC-PRIVACY,Privacy & Personal Data Protection,,what-is-a-digital-footprint,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:38,02_Content_Inventory,38,faq,How can I protect my privacy online?,TOPIC-PRIVACY,Privacy & Personal Data Protection,,how-can-i-protect-my-privacy-online,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:44,02_Content_Inventory,44,faq,What is cyberbullying?,TOPIC-SAFETY,Online Safety & Digital Wellbeing,,what-is-cyberbullying,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:45,02_Content_Inventory,45,faq,What is online grooming?,TOPIC-SAFETY,Online Safety & Digital Wellbeing,,what-is-online-grooming,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:46,02_Content_Inventory,46,faq,What is sextortion?,TOPIC-SAFETY,Online Safety & Digital Wellbeing,,what-is-sextortion,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:47,02_Content_Inventory,47,faq,How can I stay safe online?,TOPIC-SAFETY,Online Safety & Digital Wellbeing,,how-can-i-stay-safe-online,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:53,02_Content_Inventory,53,faq,What makes a strong password?,TOPIC-PASSWORD,Passwords & Account Security,,what-makes-a-strong-password,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:54,02_Content_Inventory,54,faq,Why should I use different passwords for different accounts?,TOPIC-PASSWORD,Passwords & Account Security,,why-should-i-use-different-passwords,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:55,02_Content_Inventory,55,faq,What is multi-factor authentication (MFA)?,TOPIC-PASSWORD,Passwords & Account Security,,what-is-multi-factor-authentication,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:56,02_Content_Inventory,56,faq,Should I use a password manager?,TOPIC-PASSWORD,Passwords & Account Security,,should-i-use-a-password-manager,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:62,02_Content_Inventory,62,faq,What is a digital citizen?,TOPIC-BEGINNER,Beginner / Digital Foundations,,what-is-a-digital-citizen,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:63,02_Content_Inventory,63,faq,What is social engineering?,TOPIC-BEGINNER,Beginner / Digital Foundations,,what-is-social-engineering,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:64,02_Content_Inventory,64,faq,Why should I think before clicking?,TOPIC-BEGINNER,Beginner / Digital Foundations,,why-should-i-think-before-clicking,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:65,02_Content_Inventory,65,faq,Who should I ask if I'm unsure about something online?,TOPIC-BEGINNER,Beginner / Digital Foundations,,who-should-i-ask-if-im-unsure-online,planning_only,unsupported_live_type,issues,none,
workbook:02_Content_Inventory:5,02_Content_Inventory,5,resource,How To Recognize and Avoid Phishing Scams,TOPIC-SCAMS,Scams & Social Engineering,,how-to-recognize-and-avoid-phishing-scams,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:6,02_Content_Inventory,6,resource,National Scam Response Centre (NSRC) Malaysia,TOPIC-SCAMS,Scams & Social Engineering,,national-scam-response-centre-malaysia,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:14,02_Content_Inventory,14,resource,Sebenarnya.my – Malaysia's Official Fact Check Portal,TOPIC-MISINFORMATION,Misinformation & Media Literacy,,sebenarnya-malaysia-fact-check,live_supported,possible_duplicate,issues,exact,
workbook:02_Content_Inventory:15,02_Content_Inventory,15,resource,Media and Information Literacy,TOPIC-MISINFORMATION,Misinformation & Media Literacy,,media-and-information-literacy,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:23,02_Content_Inventory,23,resource,AI in Cybercrime: Understanding AI-Enabled Threats,TOPIC-AI&TECHNOLOGY,AI & Technology Safety,,spotlight-cybercrime-innovation,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:24,02_Content_Inventory,24,resource,Understanding Deepfakes and Synthetic Media,TOPIC-AI&TECHNOLOGY,AI & Technology Safety,,beyond-illusions-deepfakes,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:32,02_Content_Inventory,32,resource,Department of Personal Data Protection (JPDP),TOPIC-PRIVACY,Privacy & Personal Data Protection,,department-of-personal-data-protection,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:33,02_Content_Inventory,33,resource,Online Privacy and Security,TOPIC-PRIVACY,Privacy & Personal Data Protection,,online-privacy-and-security,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:41,02_Content_Inventory,41,resource,Cyberbullying: What Is It and How to Stop It,TOPIC-SAFETY,Online Safety & Digital Wellbeing,,how-to-stop-cyberbullying,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:42,02_Content_Inventory,42,resource,Online Safety,TOPIC-SAFETY,Online Safety & Digital Wellbeing,,online-safety,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:50,02_Content_Inventory,50,resource,Use Strong Passwords,TOPIC-PASSWORD,Passwords & Account Security,,use-strong-passwords,live_supported,possible_duplicate,issues,exact,
workbook:02_Content_Inventory:51,02_Content_Inventory,51,resource,Turn On Multi-Factor Authentication,TOPIC-PASSWORD,Passwords & Account Security,,turn-on-multi-factor-authentication,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:59,02_Content_Inventory,59,resource,Digital Citizenship,TOPIC-BEGINNER,Beginner / Digital Foundations,,digital-citizenship,live_supported,skip_exact_duplicate,issues,exact,slug_collision
workbook:02_Content_Inventory:60,02_Content_Inventory,60,resource,Social Engineering Explained,TOPIC-BEGINNER,Beginner / Digital Foundations,,social-engineering,live_supported,create_candidate,issues,none,
workbook:02_Content_Inventory:12,02_Content_Inventory,12,safety_summary,How to Avoid a Scam,TOPIC-SCAMS,Scams & Social Engineering,,how-to-avoid-a-scam,planning_only,unsupported_live_type,ok,none,
workbook:02_Content_Inventory:21,02_Content_Inventory,21,safety_summary,Think Before You Share,TOPIC-MISINFORMATION,Misinformation & Media Literacy,,think-before-you-share,planning_only,unsupported_live_type,ok,none,
workbook:02_Content_Inventory:30,02_Content_Inventory,30,safety_summary,Using AI Safely Online,TOPIC-AI&TECHNOLOGY,AI & Technology Safety,,using-ai-safely-online,planning_only,unsupported_live_type,ok,none,
workbook:02_Content_Inventory:39,02_Content_Inventory,39,safety_summary,Protecting Your Personal Information,TOPIC-PRIVACY,Privacy & Personal Data Protection,,protecting-your-personal-information,planning_only,unsupported_live_type,ok,none,
