dry_run_id,content_type,title,locale,declared,actual_status
workbook:02_Content_Inventory:8,faq,What is the National Scam Response Centre (NSRC)?,en,yes,partial
workbook:02_Content_Inventory:8,faq,What is the National Scam Response Centre (NSRC)?,ms,yes,partial
workbook:02_Content_Inventory:8,faq,What is the National Scam Response Centre (NSRC)?,zh-CN,yes,partial
workbook:02_Content_Inventory:9,faq,Who should contact NSRC?,en,yes,partial
workbook:02_Content_Inventory:9,faq,Who should contact NSRC?,ms,yes,partial
workbook:02_Content_Inventory:9,faq,Who should contact NSRC?,zh-CN,yes,partial
workbook:02_Content_Inventory:10,faq,What should I do if I have been scammed?,en,yes,partial
workbook:02_Content_Inventory:10,faq,What should I do if I have been scammed?,ms,yes,partial
workbook:02_Content_Inventory:10,faq,What should I do if I have been scammed?,zh-CN,yes,partial
workbook:02_Content_Inventory:11,faq,What information should I prepare when reporting a scam?,en,yes,partial
workbook:02_Content_Inventory:11,faq,What information should I prepare when reporting a scam?,ms,yes,partial
workbook:02_Content_Inventory:11,faq,What information should I prepare when reporting a scam?,zh-CN,yes,partial
workbook:02_Content_Inventory:17,faq,What is fake news?,en,yes,partial
workbook:02_Content_Inventory:17,faq,What is fake news?,ms,yes,partial
workbook:02_Content_Inventory:17,faq,What is fake news?,zh-CN,yes,partial
workbook:02_Content_Inventory:18,faq,How can I check if information is true?,en,yes,partial
workbook:02_Content_Inventory:18,faq,How can I check if information is true?,ms,yes,partial
workbook:02_Content_Inventory:18,faq,How can I check if information is true?,zh-CN,yes,partial
workbook:02_Content_Inventory:19,faq,Why do people share fake news?,en,yes,partial
workbook:02_Content_Inventory:19,faq,Why do people share fake news?,ms,yes,partial
workbook:02_Content_Inventory:19,faq,Why do people share fake news?,zh-CN,yes,partial
workbook:02_Content_Inventory:20,faq,What should I do if I see fake news?,en,yes,partial
workbook:02_Content_Inventory:20,faq,What should I do if I see fake news?,ms,yes,partial
workbook:02_Content_Inventory:20,faq,What should I do if I see fake news?,zh-CN,yes,partial
workbook:02_Content_Inventory:26,faq,What is AI-generated content?,en,yes,partial
workbook:02_Content_Inventory:26,faq,What is AI-generated content?,ms,yes,partial
workbook:02_Content_Inventory:26,faq,What is AI-generated content?,zh-CN,yes,partial
workbook:02_Content_Inventory:27,faq,What is a deepfake?,en,yes,partial
