dry_run_id,content_type,title,live_support,content_completeness,disposition,import_readiness,content_completeness_reasons
workbook:02_Content_Inventory:8,faq,What is the National Scam Response Centre (NSRC)?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:9,faq,Who should contact NSRC?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:10,faq,What should I do if I have been scammed?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:11,faq,What information should I prepare when reporting a scam?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:17,faq,What is fake news?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:18,faq,How can I check if information is true?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:19,faq,Why do people share fake news?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:20,faq,What should I do if I see fake news?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:26,faq,What is AI-generated content?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:27,faq,What is a deepfake?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:28,faq,How can I tell if content is AI-generated?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:29,faq,Why should I verify AI-generated content?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:35,faq,What is personal data?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:36,faq,Why should I be careful when using public Wi-Fi?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:37,faq,What is a digital footprint?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:38,faq,How can I protect my privacy online?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:44,faq,What is cyberbullying?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:45,faq,What is online grooming?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:46,faq,What is sextortion?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:47,faq,How can I stay safe online?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:53,faq,What makes a strong password?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:54,faq,Why should I use different passwords for different accounts?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
workbook:02_Content_Inventory:55,faq,What is multi-factor authentication (MFA)?,planning_only,content_brief,missing_required_fields,planning_only,FAQ row has question/summary prompt but no answer text.
